"All Establishment Details"
"January 2017"
"Report Date: 05/05/2017 11:10 AM",
"Establishment","License Number","Municipality","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","NTI","NTI Tax Rate (30%)","State Share","Municipality Share",
"Agnandi, Inc.","130705107","Posen","5","474000.0700","430565.3600","43434.7100","141526.0000","98091.2900","43434.7100","13030.4800","10858.7400","2171.7400",
"AGR Group, LLC","120709064","Pekin","3","72256.3500","67212.2700","5044.0800","21501.0000","16456.9200","5044.0800","1513.2100","1261.0100","252.2000",
"Ahlstrand and Ahlstrand, Inc.","120704627","Rock Falls","5","284353.3900","264295.0500","20058.3400","91058.0000","70999.6600","20058.3400","6017.5900","5014.6600","1002.9300",
"Ahrvt3 Inc.","160700299","Winnebago County","3","47259.2300","43551.2800","3707.9500","15961.0000","12253.0500","3707.9500","1112.4200","927.0200","185.4000",
"AJ'S BAR & GRILL, INC.","130701423","Arenzville","2","37239.3200","34576.9800","2662.3400","12391.0000","9728.8100","2662.1900","798.6300","665.5200","133.1100",
"AJ'S PIZZERIA & SPIRITS, LLC","150702109","North Chicago","5","329323.5700","303486.1900","25837.3800","107337.0000","81499.5200","25837.4800","7751.3100","6459.4200","1291.8900",
"AJ's, LLC","150700614","Round Lake Heights","5","508197.3900","472163.5200","36033.8700","153693.0000","117647.2800","36045.7200","10813.7300","9011.4500","1802.2800",
"AJG Industries, Inc.","160700876","Springfield","3","64428.3700","59368.8300","5059.5400","29413.0000","24353.4400","5059.5600","1517.8900","1264.9100","252.9800",
"AKMJ ENTERPRISES, INC.","150700444","Freeport","5","243373.1700","223837.0000","19536.1700","77884.0000","58347.8300","19536.1700","5860.9900","4884.1600","976.8300",
"Al & Joe's Foods & Liquors, Inc.","120710147","Franklin Park","4","127015.3800","115331.6600","11683.7200","36112.0000","24428.2800","11683.7200","3505.1600","2920.9700","584.1900",
"Al's Bella Vista, Inc.","120709416","La Salle","2","30317.1900","28199.8700","2117.3200","7584.0000","5466.6800","2117.3200","635.2100","529.3400","105.8700",
"Al's Place, Inc.","120710503","Sullivan","5","43993.7900","40143.3100","3850.4800","11998.0000","8148.0200","3849.9800","1155.0200","962.5200","192.5000",
"ALAMO FOODS, INC.","120708004","Chatham","5","308308.1500","291970.0400","16338.1100","98696.0000","82358.0500","16337.9500","4901.4400","4084.5400","816.9000",
"ALAMO FOODS, INC.","120708006","Springfield","5","195923.3600","179892.9900","16030.3700","62167.0000","46136.6300","16030.3700","4809.1400","4007.6100","801.5300",
"ALAN MYERS","140704064","Bartonville","5","292849.6500","269704.0400","23145.6100","94911.0000","71765.3900","23145.6100","6943.7000","5786.4200","1157.2800",
"Albert Parker Post No. 620, The American Legion, Department of Illinois","140902356","Bement","3","67699.5700","60446.7700","7252.8000","21510.0000","14257.2000","7252.8000","2175.8900","1813.2400","362.6500",
"Albion Browns Post #590 American Legion, Inc.","130905306","Albion","4","44973.2400","41436.7500","3536.4900","12871.0000","9334.3400","3536.6600","1061.0500","884.2100","176.8400",
"Alc Corp.","140700829","Schiller Park","5","133960.6700","125880.3000","8080.3700","43247.0000","35166.9300","8080.0700","2424.0800","2020.0700","404.0100",
"Alejandra's Mexican Cuisine, Inc.","140700849","Northlake","2","27521.6600","24837.6700","2683.9900","8206.0000","5522.0600","2683.9400","805.1700","670.9800","134.1900",
